CVE_ID,Product,CVSS_Score,Historical_Attack_Data,Exploit_Status,Patch_Availability,Description,Severity,Timestamp
CVE-2022-47966,Zoho ManageEngine,7.2,79,Yes,Available,Real CVE affecting Zoho ManageEngine,Critical,02:05.5
CVE-2023-0464,OpenSSL,5.4,12,No,Not Available,Real CVE affecting OpenSSL,Low,02:05.5
CVE-2023-23397,Microsoft Outlook,9.3,83,Yes,Not Available,Real CVE affecting Microsoft Outlook,High,02:05.5
CVE-2023-27350,PaperCut NG/MF,5.3,51,No,Not Available,Real CVE affecting PaperCut NG/MF,High,02:05.5
CVE-2023-28252,Microsoft Windows Common Log File System,5.7,39,No,Not Available,Real CVE affecting Microsoft Windows Common Log File System,Low,02:05.5
CVE-2023-2868,Barracuda ESG,7.4,74,Yes,Available,Real CVE affecting Barracuda ESG,Critical,02:05.5
CVE-2023-3519,Citrix NetScaler ADC,5.7,60,Yes,Not Available,Real CVE affecting Citrix NetScaler ADC,Medium,02:05.5
CVE-2023-36884,Microsoft Office,8.4,50,Yes,Not Available,Real CVE affecting Microsoft Office,Critical,02:05.5
CVE-2023-40044,Progress MOVEit Transfer,6.6,57,No,Not Available,Real CVE affecting Progress MOVEit Transfer,High,02:05.5
CVE-2023-42793,JetBrains TeamCity,9.9,78,No,Not Available,Real CVE affecting JetBrains TeamCity,Medium,02:05.5
CVE-2023-42795,Google Chrome,8.3,59,No,Not Available,Real CVE affecting Google Chrome,High,02:05.5
CVE-2023-44487,HTTP/2 Protocol,7.3,69,Yes,Not Available,Real CVE affecting HTTP/2 Protocol,Medium,02:05.5
CVE-2023-4911,GNU C Library (glibc),6.5,72,No,Available,Real CVE affecting GNU C Library (glibc),High,02:05.5
CVE-2020-5902,F5 BIG-IP,8.8,49,No,Available,Real CVE affecting F5 BIG-IP,Low,02:05.5
CVE-2021-3156,Sudo,5.5,49,Yes,Available,Real CVE affecting Sudo,Low,02:05.5
CVE-2020-3452,Cisco ASA,7.7,45,Yes,Available,Real CVE affecting Cisco ASA,Medium,02:05.5
CVE-2020-2551,Oracle WebLogic Server,9.1,82,Yes,Available,Real CVE affecting Oracle WebLogic Server,Medium,02:05.5
CVE-2020-5135,SonicWall VPN,7.4,81,Yes,Not Available,Real CVE affecting SonicWall VPN,Medium,02:05.5
CVE-2021-44228,Apache Log4j,9.6,90,No,Available,Real CVE affecting Apache Log4j,Medium,02:05.5
CVE-2021-45046,Apache Log4j,8.5,22,Yes,Not Available,Real CVE affecting Apache Log4j,High,02:05.5
CVE-2021-45105,Apache Log4j,5.7,74,Yes,Not Available,Real CVE affecting Apache Log4j,Medium,02:05.5
CVE-2021-4104,Apache Log4j,8.6,83,No,Not Available,Real CVE affecting Apache Log4j,High,02:05.5
CVE-2021-44832,Apache Log4j,8.3,22,No,Available,Real CVE affecting Apache Log4j,Critical,02:05.5
CVE-2023-22515,Atlassian Confluence,9.7,78,Yes,Available,Real CVE affecting Atlassian Confluence,High,02:05.5
CVE-2023-22518,Atlassian Confluence,7.5,93,No,Available,Real CVE affecting Atlassian Confluence,Low,02:05.5
CVE-2021-35211,SolarWinds Serv-U,9.3,20,No,Available,Real CVE affecting SolarWinds Serv-U,Critical,02:05.5
CVE-2020-14750,Oracle WebLogic Server,5.5,13,Yes,Not Available,Real CVE affecting Oracle WebLogic Server,Critical,02:05.5
CVE-2021-38647,Azure OMI,10,78,No,Available,Real CVE affecting Azure OMI,Medium,02:05.5
CVE-2021-42321,Microsoft Exchange Server,6,57,Yes,Available,Real CVE affecting Microsoft Exchange Server,Low,02:05.5
CVE-2022-0847,Linux Kernel,5.1,91,No,Not Available,Real CVE affecting Linux Kernel,High,02:05.5
CVE-2021-26084,Atlassian Confluence,7.9,45,Yes,Available,Real CVE affecting Atlassian Confluence,Medium,02:05.5
CVE-2021-34523,Microsoft Exchange Server,7.3,59,Yes,Not Available,Real CVE affecting Microsoft Exchange Server,Low,02:05.5
CVE-2020-0601,Microsoft Windows,9.1,86,Yes,Available,Real CVE affecting Microsoft Windows,Low,02:05.5
CVE-2020-0796,Microsoft Windows,8.5,24,Yes,Available,Real CVE affecting Microsoft Windows,High,02:05.5
CVE-2020-1350,Microsoft Windows DNS Server,6.4,36,Yes,Available,Real CVE affecting Microsoft Windows DNS Server,Low,02:05.5
CVE-2020-1472,Microsoft Netlogon,9.2,72,No,Available,Real CVE affecting Microsoft Netlogon,Medium,02:05.5
CVE-2020-14882,Oracle WebLogic Server,9.1,75,No,Available,Real CVE affecting Oracle WebLogic Server,Critical,02:05.5
CVE-2020-17087,Microsoft Windows Kernel,5.3,75,Yes,Available,Real CVE affecting Microsoft Windows Kernel,Critical,02:05.5
CVE-2021-22986,F5 BIG-IP,5.1,73,No,Not Available,Real CVE affecting F5 BIG-IP,High,02:05.5
CVE-2021-26855,Microsoft Exchange Server,5.9,86,No,Available,Real CVE affecting Microsoft Exchange Server,Critical,02:05.5
CVE-2021-21972,VMware vCenter Server,8.1,64,Yes,Available,Real CVE affecting VMware vCenter Server,Medium,02:05.5
CVE-2021-34473,Microsoft Exchange Server,8.5,84,Yes,Available,Real CVE affecting Microsoft Exchange Server,Low,02:05.5
CVE-2021-34527,Microsoft Windows Print Spooler,8.7,20,Yes,Available,Real CVE affecting Microsoft Windows Print Spooler,Low,02:05.5
CVE-2021-40444,Microsoft MSHTML,9.8,51,Yes,Not Available,Real CVE affecting Microsoft MSHTML,Medium,02:05.5
CVE-2022-0185,Linux Kernel,7,47,Yes,Not Available,Real CVE affecting Linux Kernel,Medium,02:05.5
CVE-2022-22965,Spring Framework,6.8,80,Yes,Not Available,Real CVE affecting Spring Framework,Medium,02:05.5
CVE-2022-26134,Atlassian Confluence,6.5,14,Yes,Available,Real CVE affecting Atlassian Confluence,Critical,02:05.5
CVE-2022-30190,Microsoft Windows Support Diagnostic Tool,6.2,25,Yes,Available,Real CVE affecting Microsoft Windows Support Diagnostic Tool,Critical,02:05.5
CVE-2022-3602,OpenSSL,8.6,65,Yes,Not Available,Real CVE affecting OpenSSL,Critical,02:05.5
CVE-2022-40684,Fortinet FortiOS,8.6,43,No,Not Available,Real CVE affecting Fortinet FortiOS,High,02:05.5
CVE-2022-47966,Zoho ManageEngine,7.3,45,No,Available,Real CVE affecting Zoho ManageEngine,Medium,02:05.5
CVE-2023-0464,OpenSSL,8.3,73,Yes,Available,Real CVE affecting OpenSSL,High,02:05.5
CVE-2023-23397,Microsoft Outlook,8.4,55,No,Not Available,Real CVE affecting Microsoft Outlook,Low,02:05.5
CVE-2023-27350,PaperCut NG/MF,6.4,14,Yes,Available,Real CVE affecting PaperCut NG/MF,Critical,02:05.5
CVE-2023-28252,Microsoft Windows Common Log File System,8.7,87,Yes,Not Available,Real CVE affecting Microsoft Windows Common Log File System,Medium,02:05.5
CVE-2023-2868,Barracuda ESG,8.7,67,Yes,Not Available,Real CVE affecting Barracuda ESG,High,02:05.5
CVE-2023-3519,Citrix NetScaler ADC,7,47,No,Not Available,Real CVE affecting Citrix NetScaler ADC,Medium,02:05.5
CVE-2023-36884,Microsoft Office,6.5,63,Yes,Available,Real CVE affecting Microsoft Office,Critical,02:05.5
CVE-2023-40044,Progress MOVEit Transfer,7.7,56,Yes,Available,Real CVE affecting Progress MOVEit Transfer,High,02:05.5
CVE-2023-42793,JetBrains TeamCity,9.3,28,No,Not Available,Real CVE affecting JetBrains TeamCity,Critical,02:05.5
CVE-2023-42795,Google Chrome,6.5,53,Yes,Available,Real CVE affecting Google Chrome,Medium,02:05.5
CVE-2023-44487,HTTP/2 Protocol,6.2,80,No,Not Available,Real CVE affecting HTTP/2 Protocol,High,02:05.5
CVE-2023-4911,GNU C Library (glibc),7.4,59,Yes,Available,Real CVE affecting GNU C Library (glibc),Critical,02:05.5
CVE-2020-5902,F5 BIG-IP,7.9,61,No,Available,Real CVE affecting F5 BIG-IP,Medium,02:05.5
CVE-2021-3156,Sudo,6,42,No,Not Available,Real CVE affecting Sudo,Low,02:05.5
CVE-2020-3452,Cisco ASA,6.8,59,Yes,Available,Real CVE affecting Cisco ASA,Low,02:05.5
CVE-2020-2551,Oracle WebLogic Server,8.4,56,Yes,Available,Real CVE affecting Oracle WebLogic Server,Low,02:05.5
CVE-2020-5135,SonicWall VPN,5.1,82,No,Available,Real CVE affecting SonicWall VPN,Medium,02:05.5
CVE-2021-44228,Apache Log4j,8.5,67,No,Available,Real CVE affecting Apache Log4j,Low,02:05.5
CVE-2021-45046,Apache Log4j,9.3,91,Yes,Available,Real CVE affecting Apache Log4j,Medium,02:05.5
CVE-2021-45105,Apache Log4j,8.3,58,Yes,Not Available,Real CVE affecting Apache Log4j,Critical,02:05.5
CVE-2021-4104,Apache Log4j,8.5,64,No,Not Available,Real CVE affecting Apache Log4j,Medium,02:05.5
CVE-2021-44832,Apache Log4j,8,91,No,Available,Real CVE affecting Apache Log4j,Medium,02:05.5
CVE-2023-22515,Atlassian Confluence,9.2,71,No,Not Available,Real CVE affecting Atlassian Confluence,Low,02:05.5
CVE-2023-22518,Atlassian Confluence,9.9,33,Yes,Not Available,Real CVE affecting Atlassian Confluence,Low,02:05.5
CVE-2021-35211,SolarWinds Serv-U,6.8,16,Yes,Not Available,Real CVE affecting SolarWinds Serv-U,High,02:05.5
CVE-2020-14750,Oracle WebLogic Server,7.5,49,No,Available,Real CVE affecting Oracle WebLogic Server,High,02:05.5
CVE-2021-38647,Azure OMI,9.1,67,No,Not Available,Real CVE affecting Azure OMI,High,02:05.5
CVE-2021-42321,Microsoft Exchange Server,5.4,89,No,Available,Real CVE affecting Microsoft Exchange Server,Critical,02:05.5
CVE-2022-0847,Linux Kernel,8.4,60,No,Not Available,Real CVE affecting Linux Kernel,Critical,02:05.5
CVE-2021-26084,Atlassian Confluence,7.2,19,No,Available,Real CVE affecting Atlassian Confluence,Low,02:05.5
CVE-2021-34523,Microsoft Exchange Server,5.5,83,Yes,Not Available,Real CVE affecting Microsoft Exchange Server,Low,02:05.5
CVE-2020-0601,Microsoft Windows,7.6,84,No,Not Available,Real CVE affecting Microsoft Windows,Critical,02:05.5
CVE-2020-0796,Microsoft Windows,6.8,81,No,Available,Real CVE affecting Microsoft Windows,Critical,02:05.5
CVE-2020-1350,Microsoft Windows DNS Server,9.2,85,No,Available,Real CVE affecting Microsoft Windows DNS Server,Medium,02:05.5
CVE-2020-1472,Microsoft Netlogon,5.4,78,Yes,Not Available,Real CVE affecting Microsoft Netlogon,High,02:05.5
CVE-2020-14882,Oracle WebLogic Server,7.8,70,No,Not Available,Real CVE affecting Oracle WebLogic Server,Medium,02:05.5
CVE-2020-17087,Microsoft Windows Kernel,6.7,64,No,Not Available,Real CVE affecting Microsoft Windows Kernel,Low,02:05.5
CVE-2021-22986,F5 BIG-IP,7.2,88,No,Not Available,Real CVE affecting F5 BIG-IP,Critical,02:05.5
CVE-2021-26855,Microsoft Exchange Server,8.6,59,No,Available,Real CVE affecting Microsoft Exchange Server,Low,02:05.5
CVE-2021-21972,VMware vCenter Server,6.6,21,Yes,Not Available,Real CVE affecting VMware vCenter Server,Critical,02:05.5
CVE-2021-34473,Microsoft Exchange Server,6.3,12,No,Not Available,Real CVE affecting Microsoft Exchange Server,Low,02:05.5
CVE-2021-34527,Microsoft Windows Print Spooler,9.7,92,No,Available,Real CVE affecting Microsoft Windows Print Spooler,High,02:05.5
CVE-2021-40444,Microsoft MSHTML,8.1,24,Yes,Available,Real CVE affecting Microsoft MSHTML,Low,02:05.5
CVE-2022-0185,Linux Kernel,8.7,44,No,Available,Real CVE affecting Linux Kernel,High,02:05.5
CVE-2022-22965,Spring Framework,9.9,93,Yes,Not Available,Real CVE affecting Spring Framework,Low,02:05.5
CVE-2022-26134,Atlassian Confluence,7.9,49,Yes,Available,Real CVE affecting Atlassian Confluence,Critical,02:05.5
CVE-2022-30190,Microsoft Windows Support Diagnostic Tool,7.2,12,No,Available,Real CVE affecting Microsoft Windows Support Diagnostic Tool,Medium,02:05.5
CVE-2022-3602,OpenSSL,6.7,65,Yes,Available,Real CVE affecting OpenSSL,High,02:05.5
CVE-2022-40684,Fortinet FortiOS,6.3,13,No,Not Available,Real CVE affecting Fortinet FortiOS,Critical,02:05.5
CVE-2022-47966,Zoho ManageEngine,5.2,50,No,Available,Real CVE affecting Zoho ManageEngine,Critical,02:05.5
CVE-2023-0464,OpenSSL,6.8,50,No,Not Available,Real CVE affecting OpenSSL,Critical,02:05.5
CVE-2023-23397,Microsoft Outlook,6.8,62,Yes,Not Available,Real CVE affecting Microsoft Outlook,Medium,02:05.5
CVE-2023-27350,PaperCut NG/MF,8.3,64,Yes,Available,Real CVE affecting PaperCut NG/MF,Low,02:05.5
CVE-2023-28252,Microsoft Windows Common Log File System,8.1,24,No,Available,Real CVE affecting Microsoft Windows Common Log File System,Critical,02:05.5
CVE-2023-2868,Barracuda ESG,8.2,76,No,Available,Real CVE affecting Barracuda ESG,Low,02:05.5
CVE-2023-3519,Citrix NetScaler ADC,6.8,58,Yes,Available,Real CVE affecting Citrix NetScaler ADC,Critical,02:05.5
CVE-2023-36884,Microsoft Office,7.9,56,Yes,Available,Real CVE affecting Microsoft Office,Low,02:05.5
CVE-2023-40044,Progress MOVEit Transfer,5.4,87,No,Available,Real CVE affecting Progress MOVEit Transfer,High,02:05.5
CVE-2023-42793,JetBrains TeamCity,7.7,91,Yes,Available,Real CVE affecting JetBrains TeamCity,High,02:05.5
CVE-2023-42795,Google Chrome,8.3,19,Yes,Not Available,Real CVE affecting Google Chrome,Critical,02:05.5
CVE-2023-44487,HTTP/2 Protocol,6.8,64,No,Not Available,Real CVE affecting HTTP/2 Protocol,High,02:05.5
CVE-2023-4911,GNU C Library (glibc),8.9,67,No,Not Available,Real CVE affecting GNU C Library (glibc),Medium,02:05.5
CVE-2020-5902,F5 BIG-IP,9.4,45,No,Available,Real CVE affecting F5 BIG-IP,High,02:05.5
CVE-2021-3156,Sudo,5.4,88,No,Available,Real CVE affecting Sudo,Medium,02:05.5
CVE-2020-3452,Cisco ASA,8.8,22,No,Not Available,Real CVE affecting Cisco ASA,Medium,02:05.5
CVE-2020-2551,Oracle WebLogic Server,7.5,94,No,Available,Real CVE affecting Oracle WebLogic Server,High,02:05.5
CVE-2020-5135,SonicWall VPN,6.7,51,Yes,Available,Real CVE affecting SonicWall VPN,High,02:05.5
CVE-2021-44228,Apache Log4j,9.7,87,No,Available,Real CVE affecting Apache Log4j,Medium,02:05.5
CVE-2021-45046,Apache Log4j,6.5,20,Yes,Available,Real CVE affecting Apache Log4j,Critical,02:05.5
CVE-2021-45105,Apache Log4j,7.3,79,No,Available,Real CVE affecting Apache Log4j,Critical,02:05.5
CVE-2021-4104,Apache Log4j,6.6,86,No,Available,Real CVE affecting Apache Log4j,Low,02:05.5
CVE-2021-44832,Apache Log4j,6.5,79,Yes,Available,Real CVE affecting Apache Log4j,Low,02:05.5
CVE-2023-22515,Atlassian Confluence,8.6,86,Yes,Not Available,Real CVE affecting Atlassian Confluence,Low,02:05.5
CVE-2023-22518,Atlassian Confluence,8.3,21,Yes,Not Available,Real CVE affecting Atlassian Confluence,Critical,02:05.5
CVE-2021-35211,SolarWinds Serv-U,9,35,Yes,Available,Real CVE affecting SolarWinds Serv-U,Low,02:05.5
CVE-2020-14750,Oracle WebLogic Server,10,32,No,Available,Real CVE affecting Oracle WebLogic Server,Low,02:05.5
CVE-2021-38647,Azure OMI,5.4,17,No,Available,Real CVE affecting Azure OMI,Low,02:05.5
CVE-2021-42321,Microsoft Exchange Server,6.3,80,Yes,Not Available,Real CVE affecting Microsoft Exchange Server,Critical,02:05.5
CVE-2022-0847,Linux Kernel,5.5,19,Yes,Not Available,Real CVE affecting Linux Kernel,Low,02:05.5
CVE-2021-26084,Atlassian Confluence,6.2,76,No,Not Available,Real CVE affecting Atlassian Confluence,High,02:05.5
CVE-2021-34523,Microsoft Exchange Server,7,45,Yes,Available,Real CVE affecting Microsoft Exchange Server,Critical,02:05.5
CVE-2020-0601,Microsoft Windows,7,63,Yes,Not Available,Real CVE affecting Microsoft Windows,Critical,02:05.5
CVE-2020-0796,Microsoft Windows,9.3,19,Yes,Available,Real CVE affecting Microsoft Windows,Low,02:05.5
CVE-2020-1350,Microsoft Windows DNS Server,6.7,62,No,Not Available,Real CVE affecting Microsoft Windows DNS Server,Medium,02:05.5
CVE-2020-1472,Microsoft Netlogon,7.8,58,No,Not Available,Real CVE affecting Microsoft Netlogon,Low,02:05.5
CVE-2020-14882,Oracle WebLogic Server,7.8,59,Yes,Available,Real CVE affecting Oracle WebLogic Server,Critical,02:05.5
CVE-2020-17087,Microsoft Windows Kernel,8.4,38,No,Not Available,Real CVE affecting Microsoft Windows Kernel,Medium,02:05.5
CVE-2021-22986,F5 BIG-IP,5.6,57,No,Available,Real CVE affecting F5 BIG-IP,Low,02:05.5
CVE-2021-26855,Microsoft Exchange Server,5.2,59,Yes,Available,Real CVE affecting Microsoft Exchange Server,Low,02:05.5
CVE-2021-21972,VMware vCenter Server,9.3,34,No,Available,Real CVE affecting VMware vCenter Server,Low,02:05.5
CVE-2021-34473,Microsoft Exchange Server,8.9,57,No,Available,Real CVE affecting Microsoft Exchange Server,Medium,02:05.5
CVE-2021-34527,Microsoft Windows Print Spooler,5.2,27,No,Available,Real CVE affecting Microsoft Windows Print Spooler,Critical,02:05.5
CVE-2021-40444,Microsoft MSHTML,9.8,66,No,Not Available,Real CVE affecting Microsoft MSHTML,High,02:05.5
CVE-2022-0185,Linux Kernel,5.8,48,No,Available,Real CVE affecting Linux Kernel,Low,02:05.5
CVE-2022-22965,Spring Framework,6,38,No,Available,Real CVE affecting Spring Framework,Critical,02:05.5
CVE-2022-26134,Atlassian Confluence,9.2,41,Yes,Not Available,Real CVE affecting Atlassian Confluence,Medium,02:05.5
CVE-2022-30190,Microsoft Windows Support Diagnostic Tool,8.5,32,No,Available,Real CVE affecting Microsoft Windows Support Diagnostic Tool,Critical,02:05.5
CVE-2022-3602,OpenSSL,5.5,88,No,Available,Real CVE affecting OpenSSL,Critical,02:05.5
CVE-2022-40684,Fortinet FortiOS,7.5,53,No,Not Available,Real CVE affecting Fortinet FortiOS,Medium,02:05.5
CVE-2022-47966,Zoho ManageEngine,7.7,56,No,Available,Real CVE affecting Zoho ManageEngine,Critical,02:05.5
CVE-2023-0464,OpenSSL,6.2,52,No,Available,Real CVE affecting OpenSSL,Critical,02:05.5
CVE-2023-23397,Microsoft Outlook,6.8,58,No,Available,Real CVE affecting Microsoft Outlook,Critical,02:05.5
CVE-2023-27350,PaperCut NG/MF,7.8,44,No,Not Available,Real CVE affecting PaperCut NG/MF,Medium,02:05.5
CVE-2023-28252,Microsoft Windows Common Log File System,6.1,63,No,Not Available,Real CVE affecting Microsoft Windows Common Log File System,Medium,02:05.5
CVE-2023-2868,Barracuda ESG,7.8,73,Yes,Not Available,Real CVE affecting Barracuda ESG,Medium,02:05.5
CVE-2023-3519,Citrix NetScaler ADC,6.7,46,Yes,Not Available,Real CVE affecting Citrix NetScaler ADC,Low,02:05.5
CVE-2023-36884,Microsoft Office,5.7,32,No,Not Available,Real CVE affecting Microsoft Office,Critical,02:05.5
CVE-2023-40044,Progress MOVEit Transfer,9.1,80,Yes,Available,Real CVE affecting Progress MOVEit Transfer,Low,02:05.5
CVE-2023-42793,JetBrains TeamCity,7.6,82,No,Available,Real CVE affecting JetBrains TeamCity,Low,02:05.5
CVE-2023-42795,Google Chrome,9.6,79,Yes,Available,Real CVE affecting Google Chrome,Medium,02:05.5
CVE-2023-44487,HTTP/2 Protocol,8.1,20,Yes,Available,Real CVE affecting HTTP/2 Protocol,Critical,02:05.5
CVE-2023-4911,GNU C Library (glibc),7.1,91,No,Not Available,Real CVE affecting GNU C Library (glibc),Critical,02:05.5
CVE-2020-5902,F5 BIG-IP,7.7,65,No,Available,Real CVE affecting F5 BIG-IP,Medium,02:05.5
CVE-2021-3156,Sudo,8.6,40,Yes,Available,Real CVE affecting Sudo,Medium,02:05.5
CVE-2020-3452,Cisco ASA,6,74,No,Not Available,Real CVE affecting Cisco ASA,High,02:05.5
CVE-2020-2551,Oracle WebLogic Server,6.2,49,Yes,Not Available,Real CVE affecting Oracle WebLogic Server,High,02:05.5
CVE-2020-5135,SonicWall VPN,5.7,68,No,Available,Real CVE affecting SonicWall VPN,Medium,02:05.5
CVE-2021-44228,Apache Log4j,7.2,90,Yes,Not Available,Real CVE affecting Apache Log4j,High,02:05.5
CVE-2021-45046,Apache Log4j,6.7,77,Yes,Available,Real CVE affecting Apache Log4j,Low,02:05.5
CVE-2021-45105,Apache Log4j,5.4,21,No,Not Available,Real CVE affecting Apache Log4j,Low,02:05.5
CVE-2021-4104,Apache Log4j,5.6,47,Yes,Not Available,Real CVE affecting Apache Log4j,Medium,02:05.5
CVE-2021-44832,Apache Log4j,9.2,58,No,Not Available,Real CVE affecting Apache Log4j,Medium,02:05.5
CVE-2023-22515,Atlassian Confluence,7.7,66,Yes,Available,Real CVE affecting Atlassian Confluence,Critical,02:05.5
CVE-2023-22518,Atlassian Confluence,5.2,30,Yes,Not Available,Real CVE affecting Atlassian Confluence,High,02:05.5
CVE-2021-35211,SolarWinds Serv-U,5.6,60,Yes,Not Available,Real CVE affecting SolarWinds Serv-U,Critical,02:05.5
CVE-2020-14750,Oracle WebLogic Server,7.2,60,No,Available,Real CVE affecting Oracle WebLogic Server,Medium,02:05.5
CVE-2021-38647,Azure OMI,5.9,88,No,Available,Real CVE affecting Azure OMI,High,02:05.5
CVE-2021-42321,Microsoft Exchange Server,8.1,52,Yes,Not Available,Real CVE affecting Microsoft Exchange Server,High,02:05.5
CVE-2022-0847,Linux Kernel,6.6,87,No,Available,Real CVE affecting Linux Kernel,High,02:05.5
CVE-2021-26084,Atlassian Confluence,6.6,53,No,Not Available,Real CVE affecting Atlassian Confluence,High,02:05.5
CVE-2021-34523,Microsoft Exchange Server,6.8,44,Yes,Available,Real CVE affecting Microsoft Exchange Server,Medium,02:05.5
CVE-2020-0601,Microsoft Windows,9.2,57,Yes,Not Available,Real CVE affecting Microsoft Windows,High,02:05.5
CVE-2020-0796,Microsoft Windows,9.1,41,Yes,Not Available,Real CVE affecting Microsoft Windows,Medium,02:05.5
CVE-2020-1350,Microsoft Windows DNS Server,8.9,36,Yes,Not Available,Real CVE affecting Microsoft Windows DNS Server,Low,02:05.5
CVE-2020-1472,Microsoft Netlogon,7.8,57,Yes,Available,Real CVE affecting Microsoft Netlogon,Critical,02:05.5
CVE-2020-14882,Oracle WebLogic Server,7.1,67,Yes,Available,Real CVE affecting Oracle WebLogic Server,Low,02:05.5
CVE-2020-17087,Microsoft Windows Kernel,9.9,74,No,Available,Real CVE affecting Microsoft Windows Kernel,Medium,02:05.5
CVE-2021-22986,F5 BIG-IP,7,60,Yes,Available,Real CVE affecting F5 BIG-IP,Medium,02:05.5
CVE-2021-26855,Microsoft Exchange Server,5.6,22,Yes,Available,Real CVE affecting Microsoft Exchange Server,Medium,02:05.5
CVE-2021-21972,VMware vCenter Server,5.4,93,No,Available,Real CVE affecting VMware vCenter Server,Critical,02:05.5
CVE-2021-34473,Microsoft Exchange Server,8,90,No,Not Available,Real CVE affecting Microsoft Exchange Server,High,02:05.5
CVE-2021-34527,Microsoft Windows Print Spooler,7.4,50,No,Available,Real CVE affecting Microsoft Windows Print Spooler,High,02:05.5
CVE-2021-40444,Microsoft MSHTML,6.7,45,No,Not Available,Real CVE affecting Microsoft MSHTML,High,02:05.5
CVE-2022-0185,Linux Kernel,9.5,33,No,Available,Real CVE affecting Linux Kernel,High,02:05.5
CVE-2022-22965,Spring Framework,5.9,83,No,Not Available,Real CVE affecting Spring Framework,High,02:05.5
CVE-2022-26134,Atlassian Confluence,9.9,82,No,Available,Real CVE affecting Atlassian Confluence,High,02:05.5
CVE-2022-30190,Microsoft Windows Support Diagnostic Tool,9.4,90,No,Available,Real CVE affecting Microsoft Windows Support Diagnostic Tool,High,02:05.5
CVE-2022-3602,OpenSSL,6.9,64,Yes,Not Available,Real CVE affecting OpenSSL,Critical,02:05.5
CVE-2022-40684,Fortinet FortiOS,8.4,41,No,Available,Real CVE affecting Fortinet FortiOS,Low,02:05.5
CVE-2022-47966,Zoho ManageEngine,10,37,Yes,Available,Real CVE affecting Zoho ManageEngine,Medium,02:05.5
CVE-2023-0464,OpenSSL,7.5,66,No,Not Available,Real CVE affecting OpenSSL,High,02:05.5
CVE-2023-23397,Microsoft Outlook,6.4,91,Yes,Available,Real CVE affecting Microsoft Outlook,Medium,02:05.5
CVE-2023-27350,PaperCut NG/MF,6,69,Yes,Available,Real CVE affecting PaperCut NG/MF,High,02:05.5
CVE-2023-28252,Microsoft Windows Common Log File System,8.9,53,Yes,Not Available,Real CVE affecting Microsoft Windows Common Log File System,Low,02:05.5
CVE-2023-2868,Barracuda ESG,8.6,48,Yes,Not Available,Real CVE affecting Barracuda ESG,High,02:05.5
CVE-2023-3519,Citrix NetScaler ADC,5.6,52,Yes,Available,Real CVE affecting Citrix NetScaler ADC,High,02:05.5
CVE-2023-36884,Microsoft Office,8.2,18,Yes,Available,Real CVE affecting Microsoft Office,Medium,02:05.5
CVE-2023-40044,Progress MOVEit Transfer,9.7,14,No,Available,Real CVE affecting Progress MOVEit Transfer,Low,02:05.5
CVE-2023-42793,JetBrains TeamCity,6.8,11,Yes,Available,Real CVE affecting JetBrains TeamCity,Critical,02:05.5
